
Running tests for data/mivia/si6/rand/r005/Fri Mar  8 18:35:37 CET 2013
data/mivia/si6/rand/r005/20.A52;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.05
data/mivia/si6/rand/r005/20.A53;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.05
data/mivia/si6/rand/r005/20.A54;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A55;odcull=[2] 0.03;vf2_sub1=[2] 0.04;vf2=[2] 0.07
data/mivia/si6/rand/r005/20.A56;odcull=[1] 0.03;vf2_sub1=[1] 0.04;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A57;odcull=[2] 0.02;vf2_sub1=[2] 0.07;vf2=[2] 0.04
data/mivia/si6/rand/r005/20.A58;odcull=[4] 0.02;vf2_sub1=[4] 0.04;vf2=[4] 0.04
data/mivia/si6/rand/r005/20.A59;odcull=[2] 0.02;vf2_sub1=[2] 0.05;vf2=[2] 0.04
data/mivia/si6/rand/r005/20.A60;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.04
data/mivia/si6/rand/r005/20.A61;odcull=[1] 0.03;vf2_sub1=[1] 0.04;vf2=[1] 0.09
data/mivia/si6/rand/r005/20.A62;odcull=[2] 0.03;vf2_sub1=[2] 0.04;vf2=[2] 0.07
data/mivia/si6/rand/r005/20.A63;odcull=[2] 0.02;vf2_sub1=[2] 0.05;vf2=[2] 0.04
data/mivia/si6/rand/r005/20.A64;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.03
data/mivia/si6/rand/r005/20.A65;odcull=[6] 0.02;vf2_sub1=[6] 0.04;vf2=[6] 0.05
data/mivia/si6/rand/r005/20.A66;odcull=[1] 0.02;vf2_sub1=[1] 0.05;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A67;odcull=[12] 0.03;vf2_sub1=[12] 0.06;vf2=[12] 0.05
data/mivia/si6/rand/r005/20.A68;odcull=[6] 0.03;vf2_sub1=[6] 0.06;vf2=[6] 0.05
data/mivia/si6/rand/r005/20.A69;odcull=[1] 0.03;vf2_sub1=[1] 0.04;vf2=[1] 0.06
data/mivia/si6/rand/r005/20.A70;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.06
data/mivia/si6/rand/r005/20.A71;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.07
data/mivia/si6/rand/r005/20.A72;odcull=[2] 0.02;vf2_sub1=[2] 0.05;vf2=[2] 0.05
data/mivia/si6/rand/r005/20.A73;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A74;odcull=[1] 0.02;vf2_sub1=[1] 0.05;vf2=[1] 0.05
data/mivia/si6/rand/r005/20.A75;odcull=[1] 0.03;vf2_sub1=[1] 0.05;vf2=[1] 0.06
data/mivia/si6/rand/r005/20.A76;odcull=[3] 0.03;vf2_sub1=[3] 0.07;vf2=[3] 0.05
data/mivia/si6/rand/r005/20.A77;odcull=[8] 0.02;vf2_sub1=[8] 0.06;vf2=[8] 0.05
data/mivia/si6/rand/r005/20.A78;odcull=[2] 0.02;vf2_sub1=[2] 0.06;vf2=[2] 0.05
data/mivia/si6/rand/r005/20.A79;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A80;odcull=[6] 0.02;vf2_sub1=[6] 0.04;vf2=[6] 0.15
data/mivia/si6/rand/r005/20.A81;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.04
data/mivia/si6/rand/r005/20.A82;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.04
data/mivia/si6/rand/r005/20.A83;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A84;odcull=[1] 0.03;vf2_sub1=[1] 0.04;vf2=[1] 0.05
data/mivia/si6/rand/r005/20.A85;odcull=[2] 0.02;vf2_sub1=[2] 0.04;vf2=[2] 0.05
data/mivia/si6/rand/r005/20.A86;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A87;odcull=[4] 0.03;vf2_sub1=[4] 0.04;vf2=[4] 0.05
data/mivia/si6/rand/r005/20.A88;odcull=[2] 0.03;vf2_sub1=[2] 0.07;vf2=[2] 0.06
data/mivia/si6/rand/r005/20.A89;odcull=[2] 0.02;vf2_sub1=[2] 0.05;vf2=[2] 0.03
data/mivia/si6/rand/r005/20.A90;odcull=[3] 0.02;vf2_sub1=[3] 0.04;vf2=[3] 0.03
data/mivia/si6/rand/r005/20.A91;odcull=[4] 0.02;vf2_sub1=[4] 0.05;vf2=[4] 0.06
